Symbol,Name,Market,Trades,Volume,Value,Open,Low,High,Avg.,Close,Ref. price,Var (%)
PRBU,PRACTIC SA Bucuresti,XRS1,1,6,9000.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1460.0000,2.74
PREB,PREBET SA AIUD,REGS,6,350800,645472.0000,1.8400,1.8400,1.8400,1.8400,1.8400,1.8400,0
PREH,PREFAB SA,REGS,1,40,100.0000,2.5000,2.5000,2.5000,2.5000,2.5000,2.3400,6.84
PPL,PROMATERIS S.A.,REGS,8,532,5735.6000,10.7000,10.7000,10.8000,10.8000,10.8000,10.7000,0.93
PRSN,PROSPECTIUNI SA BUCURESTI,XRS1,20,123679,13087.4845,0.1080,0.1045,0.1085,0.1060,0.1070,0.1080,-0.93
WINE,PURCARI WINERIES PUBLIC COMPANY LIMITED,REGS,96,11447,105374.2200,9.2700,9.1600,9.2700,9.2100,9.2000,9.2100,-0.11
RKOT,RAIKO TRANSILVANIA,XRS1,164,11786,7340.3640,0.6380,0.6180,0.6380,0.6220,0.6300,0.6400,-1.56
REVA,REVA SA SIMERIA,XRS1,4,232,2297.0000,9.9000,9.9000,10.0000,9.9000,10.0000,9.4000,6.38
ROC1,ROCA INDUSTRY HOLDINGROCK1 S.A.,XRS1,6,272,2628.8900,9.8900,9.5300,9.9000,9.6700,9.8900,9.9000,-0.1
MCAB,ROMCAB SA,REGS,117,622743,105754.6615,0.1640,0.1600,0.1740,0.1700,0.1725,0.1520,13.49
ROCE,ROMCARBON SA,REGS,19,50317,18445.7020,0.3680,0.3630,0.3680,0.3670,0.3660,0.3660,0
RRC,ROMPETROL RAFINARE S.A.,REGS,7,40830,3250.2300,0.0810,0.0795,0.0810,0.0795,0.0810,0.0810,0
PTR,ROMPETROL WELL SERVICES S.A.,REGS,21,32647,19130.2120,0.5880,0.5800,0.5880,0.5860,0.5880,0.5880,0
RPH,ROPHARMA SA,REGS,9,37552,7396.3150,0.1960,0.1960,0.1990,0.1970,0.1990,0.1960,1.53
SNN,S.N. NUCLEARELECTRICA S.A.,REGS,246,21612,970427.7000,44.9500,44.7000,45.0000,44.9000,44.9500,44.9500,0
SNG,S.N.G.N. ROMGAZ S.A.,REGS,239,34038,1379873.4500,40.7000,40.2000,40.7500,40.5500,40.3000,40.5000,-0.49
TGN,S.N.T.G.N. TRANSGAZ S.A.,REGS,112,1257,373764.5000,298.5000,294.0000,299.5000,297.5000,296.5000,298.0000,-0.5
SAFE,SAFETECH INNOVATIONS,XRS1,118,47285,143829.8600,2.9800,2.9800,3.0900,3.0400,3.0700,2.9800,3.02
SNC,SANTIERUL NAVAL CONSTANTA S.A.,XRS1,4,45,96.6000,2.0000,2.0000,2.3000,2.1400,2.3000,2.3000,0
SNO,SANTIERUL NAVAL ORSOVA S.A.,REGS,1,100,500.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,0
SAP,SAP SE,XRSI,3,10,5278.9000,527.8000,526.9000,530.5000,527.9000,530.5000,526.0000,0.86
SEOL,SEMROM OLTENIA SA CRAIOVA,XRS1,4,2000,1870.0000,0.9350,0.9350,0.9350,0.9350,0.9350,0.9750,-4.1
SIF1,SIF BANAT CRISANA S.A.,REGS,18,5750,13691.4900,2.4100,2.3700,2.4100,2.3800,2.3800,2.4100,-1.24
SIF4,SIF MUNTENIA S.A.,REGS,23,8088,9722.1750,1.2150,1.2000,1.2150,1.2000,1.2000,1.2150,-1.23
SIF5,SIF OLTENIA S.A.,REGS,25,13740,24071.3000,1.7600,1.7450,1.7650,1.7500,1.7600,1.7400,1.15
SIGS,SIGSTRAT SA SIGHETU MARMATIEI,XRS1,1,2000,684.0000,0.3420,0.3420,0.3420,0.3420,0.3420,0.3480,-1.72
SMTL,SIMTEL TEAM,XRS1,37,2626,69779.6500,26.3000,26.2500,26.9000,26.5500,26.7500,26.2500,1.9
SINA,SINATEX SA BUCURESTI,XRS1,1,14,264.6000,18.9000,18.9000,18.9000,18.9000,18.9000,18.0000,5
STZ,SINTEZA S.A.,REGS,7,11403,4286.4800,0.3600,0.3600,0.3760,0.3760,0.3760,0.3600,4.44
SPX,SIPEX COMPANY,XRS1,12,122647,36979.9840,0.2980,0.2980,0.3040,0.3020,0.3040,0.2960,2.7
EL,SOCIETATEA ENERGETICA ELECTRICA S.A.,REGS,152,19852,167440.2900,8.5500,8.3500,8.5500,8.4300,8.4400,8.4800,-0.47
CODE,Softbinator Technologies,XRS1,11,936,6763.2800,7.1800,7.1800,7.4000,7.2200,7.4000,7.1600,3.35
SFG,Sphera Franchise Group,REGS,16,9048,136453.7000,15.4000,15.0000,15.4000,15.1000,15.0000,15.2000,-1.32
BRK,SSIF BRK FINANCIAL GROUP SA,REGS,39,222252,29056.4840,0.1298,0.1298,0.1320,0.1308,0.1300,0.1298,0.15
REIT,Star Residence Invest,XRS1,4,2751,435.6580,0.1585,0.1580,0.1585,0.1585,0.1580,0.1520,3.95
STKP,STK PROPERTIES S.A.,XRS1,1,1000,2400.0000,2.4000,2.4000,2.4000,2.4000,2.4000,2.4000,0
TRP,TERAPLAST SA,REGS,79,101565,61118.7170,0.6060,0.5980,0.6060,0.6020,0.6030,0.6020,0.17
TBK,TRANSILVANIA BROKER DE ASIGURARE,REGS,7,238,4466.6000,18.8000,18.7000,18.8000,18.7500,18.7000,18.8000,-0.53
TRANSI,TRANSILVANIA INVESTMENTS ALLIANCE S.A.,REGS,22,87666,24036.1180,0.2750,0.2730,0.2750,0.2740,0.2750,0.2750,0
TRGI,TRANSPORTURI AUTO GIULESTI SA BUCURESTI,XRS1,1,29,406.0000,14.0000,14.0000,14.0000,14.0000,14.0000,16.0000,-12.5
TTS,TTS (TRANSPORT TRADE SERVICES),REGS,84,17484,211459.0400,12.1800,11.9800,12.2000,12.1000,11.9800,12.1000,-0.99
TBM,TURBOMECANICA S.A.,REGS,12,26299,5119.8835,0.1970,0.1915,0.1970,0.1945,0.1915,0.1965,-2.54
TUFE,TURISM FELIX S.A.,REGS,4,960,255.9040,0.2740,0.2660,0.2800,0.2660,0.2800,0.2800,0
EFO,TURISM HOTELURI RESTAURANTE MAREA NEAGRA S.A.,REGS,16,66982,16818.6240,0.2480,0.2480,0.2600,0.2510,0.2500,0.2400,4.17
UNISEM,UNISEM SA BUCURESTI,XRS1,4,20711,4849.9840,0.2440,0.2300,0.2440,0.2340,0.2340,0.2440,-4.1
URBA,URBANA SA BISTRITA,XRS1,6,80,1944.2000,24.2000,24.2000,24.4000,24.4000,24.4000,20.8000,17.31
BIOW,VIFRANA,XRS1,7,13000,1957.0000,0.1505,0.1505,0.1515,0.1505,0.1515,0.1510,0.33
ALW,VISUAL FAN,XRS1,1,15,136.5000,9.1000,9.1000,9.1000,9.1000,9.1000,8.6000,5.81
VNC,VRANCART SA,REGS,6,12117,1999.4210,0.1650,0.1650,0.1655,0.1650,0.1655,0.1655,0
